model,run,historical,ssp119,ssp126,ssp245,ssp370,ssp585
MIROC6,r5i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
MIROC6,r6i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
MIROC6,r7i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
MIROC6,r8i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
MIROC6,r9i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
MIROC6,r10i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
MIROC-ES2L,r1i1p1f2,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4
MIROC-ES2L,r1i1000p1f2,od550dust od550oa od550so4,,,,,
MIROC-ES2L,r2i1p1f2,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4
MIROC-ES2L,r3i1p1f2,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4
MIROC-ES2L,r4i1p1f2,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4
MIROC-ES2L,r5i1p1f2,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4
MIROC-ES2L,r6i1p1f2,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4
MIROC-ES2L,r7i1p1f2,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4
MIROC-ES2L,r8i1p1f2,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4
MIROC-ES2L,r9i1p1f2,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4
MIROC-ES2L,r10i1p1f2,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4,od550dust od550oa od550so4
MIROC-ES2L,r11i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r12i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r13i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r14i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r15i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r16i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r17i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r18i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r19i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r20i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r21i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r22i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r23i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r24i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r25i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r26i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r27i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r28i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r29i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MIROC-ES2L,r30i1p1f2,od550dust od550oa od550so4,,,od550dust od550oa od550so4,,
MPI-ESM-1-2-HAM,r1i1p1f1,od550bb od550bc od550dust od550oa od550so4 od550ss,,,,od550bb,
MPI-ESM-1-2-HAM,r2i1p1f1,od550bb od550bc od550dust od550oa od550so4 od550ss,,,,od550bb,
MPI-ESM-1-2-HAM,r3i1p1f1,od550bb od550bc od550dust od550oa od550so4 od550ss,,,,od550bb od550bc od550dust od550oa od550so4 od550ss,
MRI-ESM2-0,r1i1p1f1,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss
MRI-ESM2-0,r1i2p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,od550bc od550dust od550oa od550so4 od550ss
MRI-ESM2-0,r1i3p1f1,,,,od550bc od550dust od550oa od550so4 od550ss,,
MRI-ESM2-0,r1i1000p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
MRI-ESM2-0,r2i1p1f1,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss
MRI-ESM2-0,r2i3p1f1,,,,od550bc od550dust od550oa od550so4 od550ss,,
MRI-ESM2-0,r3i1p1f1,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss
MRI-ESM2-0,r3i3p1f1,,,,od550bc od550dust od550oa od550so4 od550ss,,
MRI-ESM2-0,r4i1p1f1,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss
MRI-ESM2-0,r4i3p1f1,,,,od550bc od550dust od550oa od550so4 od550ss,,
MRI-ESM2-0,r5i1p1f1,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss
MRI-ESM2-0,r5i3p1f1,,,,od550bc od550dust od550oa od550so4 od550ss,,
MRI-ESM2-0,r6i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
MRI-ESM2-0,r7i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
MRI-ESM2-0,r8i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
MRI-ESM2-0,r9i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
MRI-ESM2-0,r10i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,,,,
NorESM2-LM,r1i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss
NorESM2-LM,r1i1p1f2,,,,od550bc od550dust od550oa od550so4 od550ss,,
NorESM2-LM,r2i1p1f1,,,,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,
NorESM2-LM,r2i1p1f2,,,,od550bc od550dust od550oa od550so4 od550ss,,
NorESM2-LM,r3i1p1f1,,,,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss,
NorESM2-LM,r3i1p1f2,,,,od550bc od550dust od550oa od550so4 od550ss,,
NorESM2-LM,r4i1p1f2,,,,od550bc od550dust od550oa od550so4 od550ss,,
NorESM2-LM,r5i1p1f2,,,,od550bc od550dust od550oa od550so4 od550ss,,
NorESM2-LM,r6i1p1f2,,,,od550bc od550dust od550oa od550so4 od550ss,,
NorESM2-LM,r7i1p1f2,,,,od550bc od550dust od550oa od550so4 od550ss,,
NorESM2-LM,r8i1p1f2,,,,od550bc od550dust od550oa od550so4 od550ss,,
NorESM2-LM,r9i1p1f2,,,,od550bc od550dust od550oa od550so4 od550ss,,
NorESM2-LM,r10i1p1f2,,,,od550bc od550dust od550oa od550so4 od550ss,,
NorESM2-MM,r1i1p1f1,od550bc od550dust od550oa od550so4 od550ss,,od550bc od550dust od550oa od550so4 od550ss,,od550bc od550dust od550oa od550so4 od550ss,od550bc od550dust od550oa od550so4 od550ss
TaiESM1,r1i1p1f1,od550dust,,od550dust,od550dust,od550dust,od550dust
TaiESM1,r2i1p1f1,od550dust,,,,,
UKESM1-0-LL,r1i1p1f2,od550dust,,od550dust,od550dust,od550dust,od550dust
UKESM1-0-LL,r2i1p1f2,od550dust,,od550dust,od550dust,od550dust,od550dust
UKESM1-0-LL,r3i1p1f2,od550dust,,od550dust,od550dust,od550dust,od550dust
UKESM1-0-LL,r4i1p1f2,od550dust,,od550dust,od550dust,od550dust,od550dust
UKESM1-0-LL,r5i1p1f2,,,od550dust,,od550dust,
UKESM1-0-LL,r5i1p1f3,od550dust,,,,,
UKESM1-0-LL,r6i1p1f2,,,od550dust,,od550dust,
UKESM1-0-LL,r6i1p1f3,od550dust,,,,,
UKESM1-0-LL,r7i1p1f2,,,od550dust,,od550dust,
UKESM1-0-LL,r7i1p1f3,od550dust,,,,,
UKESM1-0-LL,r8i1p1f2,od550dust,,od550dust,od550dust,od550dust,od550dust
UKESM1-0-LL,r9i1p1f2,od550dust,,od550dust,,od550dust,
UKESM1-0-LL,r10i1p1f2,od550dust,,od550dust,,od550dust,
UKESM1-0-LL,r11i1p1f2,od550dust,,od550dust,,od550dust,
UKESM1-0-LL,r12i1p1f2,od550dust,,od550dust,,od550dust,
UKESM1-0-LL,r13i1p1f2,od550dust,,od550dust,,od550dust,od550dust
UKESM1-0-LL,r14i1p1f2,od550dust,,od550dust,,od550dust,od550dust
UKESM1-0-LL,r15i1p1f2,od550dust,,od550dust,,od550dust,od550dust
UKESM1-0-LL,r16i1p1f2,od550dust,,od550dust,,od550dust,
UKESM1-0-LL,r17i1p1f2,od550dust,,od550dust,,od550dust,
UKESM1-0-LL,r18i1p1f2,od550dust,,od550dust,,od550dust,
UKESM1-0-LL,r19i1p1f2,od550dust,,od550dust,,od550dust,
